                        home_team                   away_team                    date  initial_odds_home  initial_draw_odds  initial_odds_away  initial_difference  actual_odds_home  draw_odds_actual  actual_odds_away  actual_difference
0           Kolos Kovalivka (U21)    FC Inhulets Petrove(U21)     09/08/2024 (Friday)               1.43               4.20               6.21                4.78              1.23              5.30              9.90               8.67
1                   Shanghai Port               Meizhou Hakka     09/08/2024 (Friday)               1.08              13.60              21.00               19.92              1.01             24.00             55.00              53.99
2                  Persib Bandung            PSBS Biak Numfor     09/08/2024 (Friday)               1.17               6.10              13.20               12.03              1.14              6.30             15.50              14.36
3              Johor Darul Takzim                       Kedah     09/08/2024 (Friday)               1.10               7.00              25.00               23.90              1.08              8.60             28.00              26.92
4               FK Orenburg Youth   Zenit St.Petersburg Youth     09/08/2024 (Friday)              12.80               6.60               1.18               11.62             12.60              6.60              1.18              11.42
5                     Veres Rivne                 Dynamo Kyiv     09/08/2024 (Friday)              11.00               5.85               1.27                9.73              7.85              4.70              1.38               6.47
6                Al Hussein Irbid            Al Jazeera Amman     09/08/2024 (Friday)               1.13               7.00              15.00               13.87              1.08              8.00             22.00              20.92
7                       Al Rayyan                   Umm Salal     09/08/2024 (Friday)               1.26               5.70               9.10                7.84              1.32              5.20              7.75               6.43
8                    Albania(U19)          Liechtenstein(U19)     09/08/2024 (Friday)               1.20               6.00              10.30                9.10              1.20              6.00             10.20               9.00
9                         SV Ried                     SV Horn     09/08/2024 (Friday)               1.24               6.30              10.00                8.76              1.23              6.30             10.70               9.47
10                        Qarabag                   Kapaz PFK     09/08/2024 (Friday)               1.21               6.50               8.25                7.04              1.22              5.60             10.10               8.88
11                    FK Riteriai         Hegelmann Litauen B     09/08/2024 (Friday)               1.23               6.00               8.25                7.02              1.28              5.30              7.90               6.62
12                        Udinese                    Avellino     09/08/2024 (Friday)               1.12               7.00              17.00               15.88              1.17              7.10             14.10              12.93
13              Petrocub Hincesti                 FC Floresti     09/08/2024 (Friday)               1.32               5.30               6.64                5.32              1.23              5.90              8.65               7.42
14                     Rappe GOIF              Hassleholms IF     09/08/2024 (Friday)               9.30               7.00               1.18                8.12              6.27              5.25              1.34               4.93
15               Friska Viljor FC                     Umea FC     09/08/2024 (Friday)               4.38               4.45               1.60                2.78              8.30              5.45              1.29               7.01
16                 Herrestads AIF                 IK Gauthiod     09/08/2024 (Friday)               1.23               5.50               9.35                8.12              1.23              5.80              8.95               7.72
17                   Al-Wehdat SC                   AL-Sareeh     09/08/2024 (Friday)               1.26               5.00               9.40                8.14              1.26              5.15              9.20               7.94
18                    Galatasaray                   Hatayspor     09/08/2024 (Friday)               1.27               6.82              10.60                9.33              1.25              6.95             11.90              10.65
