                       home_team              away_team                    date  initial_odds_home  initial_draw_odds  initial_odds_away  initial_difference  actual_odds_home  draw_odds_actual  actual_odds_away  actual_difference
0                 Team Thoren FF              Gottne IF   10/08/2024 (Saturday)               1.18               7.00               9.30                8.12              1.21              6.25              9.05               7.84
1               Gornik Zabrze II        Slask Wroclaw B   10/08/2024 (Saturday)               7.65               5.50               1.28                6.37              9.00              5.20              1.26               7.74
2                   Leeds United        Portsmouth F.C.   10/08/2024 (Saturday)               1.37               5.15               7.80                6.43              1.33              5.40              8.70               7.37
3               Shanghai Shenhua         Nantong Zhiyun   10/08/2024 (Saturday)               1.10               9.60              29.00               27.90              1.07             12.60             29.00              27.93
4                   Bahlinger SC           Goppinger SV   10/08/2024 (Saturday)               1.17               7.00              10.20                9.03              1.78              3.84              3.65               1.87
5           Jakobstads Bollklubb                 OPS-jp   10/08/2024 (Saturday)               1.21               6.00               9.35                8.14              1.22              6.85              8.85               7.63
6             Vastra Frolunda IF            Hittarps IK   10/08/2024 (Saturday)               1.13               7.50              12.50               11.37              1.11              7.50             16.00              14.89
7                      Lorenskog      Kristiansund BK B   10/08/2024 (Saturday)               1.18               7.50               8.30                7.12              1.11              7.70             15.00              13.89
8                          JIPPO   Mikkelin Palloilijat   10/08/2024 (Saturday)               1.30               5.10               9.10                7.80              1.25              5.45             10.50               9.25
9          Nordsjaelland Women's     Kolding BK Women's   10/08/2024 (Saturday)               1.14               7.50              16.00               14.86              1.17              6.05             13.20              12.03
10                 Metta/LU Riga                Riga FC   10/08/2024 (Saturday)              10.20               6.50               1.19                9.01             20.00              8.10              1.08              18.92
11             Siarka Tarnobrzeg        Lewart Lubartow   10/08/2024 (Saturday)               1.21               6.50               8.70                7.49              1.14              8.00             12.90              11.76
12          HPS Helsinki Women's  Pallokerho-35 Women's   10/08/2024 (Saturday)               1.24               6.60               7.50                6.26              1.10              7.60             18.50              17.40
13                  Sprint-Jeloy                Elverum   10/08/2024 (Saturday)               9.15               7.00               1.19                7.96             13.60              7.10              1.13              12.47
